tender_no,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt
AGC000ETT16000001,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION AND TESTING OF MOBILE WIFI ROUTER DEVICES AND MOBILE LINES WITH DATA PLAN SUBSCRIPTION",Attorney-General's Chambers,10/5/2016,Awarded to Suppliers,BTW Technology Pte Ltd,197064.3
AGC000ETT16000003,INVITATION TO TENDER FOR APPLICATION MAINTENANCE AND SUPPORT FOR ENTERPRISE LEGAL MANAGEMENT SYSTEM (ELMS) FOR ATTORNEY-GENERAL'S CHAMBERS,Attorney-General's Chambers,27/4/2016,Awarded to Suppliers,NOVACITYNETS PTE LTD,2640325
AGC000ETT16000004,"ITT FOR THE PROVISION OF APPLICATION MAINTENANCE AND SUPPORT FOR THE SPYDUS LIBRARY SYSTEM FOR THE ATTORNEY-GENERALS CHAMBER, THE SUPREME COURT AND THE STATE COURTS",Attorney-General's Chambers,16/9/2016,Awarded to Suppliers,CIVICA PTE. LTD.,395374
AGC000ETT16000005,INVITATION TO TENDER FOR THE PROVISION OF OFFSITE STORAGE FOR THE ATTORNEY-GENERAL'S CHAMBERS FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ONE (1) YEAR,Attorney-General's Chambers,15/9/2016,Awarded to No Suppliers,Unknown,0
AGC000ETT16000007,"To conduct security risk assessment, review existing security measures and develop security protection plan and security procedures for Attorney-General's Chambers.",Attorney-General's Chambers,29/9/2016,Awarded to Suppliers,JACOBS INTERNATIONAL CONSULTANTS PTE. LTD.,52400
AGC000ETT16000022,INVITATION TO TENDER FOR THE PROVISION OF TWO RUNS OF A 2-DAY WRITTEN ADVOCACY COURSE TO PARTICIPANTS FROM THE ATTORNEY-GENERALS CHAMBERS,Attorney-General's Chambers,1/12/2016,Awarded to Suppliers,ARMSTRONG TALENT DEVELOPMENT,74500
AVA000ETT15000037,TENDER FOR THE THREE-YEAR PERIOD CONTRACT FOR THE SUPPLY AND DELIVERY OF GASES FOR LAB USE AT AGRI- FOOD & VETERINARY AUTHORITY NO. 6 & 10 PERAHU ROAD (718827 & 718837),Agri-food and Veterinary Authority,20/4/2016,Awarded to Suppliers,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,11325
AVA000ETT15000037,TENDER FOR THE THREE-YEAR PERIOD CONTRACT FOR THE SUPPLY AND DELIVERY OF GASES FOR LAB USE AT AGRI- FOOD & VETERINARY AUTHORITY NO. 6 & 10 PERAHU ROAD (718827 & 718837),Agri-food and Veterinary Authority,20/4/2016,Awarded to Suppliers,LEEDEN NATIONAL OXYGEN LTD.,83848.5
AVA000ETT15000037,TENDER FOR THE THREE-YEAR PERIOD CONTRACT FOR THE SUPPLY AND DELIVERY OF GASES FOR LAB USE AT AGRI- FOOD & VETERINARY AUTHORITY NO. 6 & 10 PERAHU ROAD (718827 & 718837),Agri-food and Veterinary Authority,20/4/2016,Awarded to Suppliers,VERSUM MATERIALS SINGAPORE PTE. LTD.,74969.5
AVA000ETT15000055,Tender for period contract for the supply of disposable columns for lab use for a period of two (2) years (where the 2nd year is optional),Agri-food and Veterinary Authority,6/4/2016,Awarded to Suppliers,FISHER SCIENTIFIC PTE LTD,438725
AVA000ETT15000062,Tender for a two-year period contract for the supply of single step listeria enrichment broth complete with antibiotics,Agri-food and Veterinary Authority,7/6/2016,Awarded to Suppliers,THERMO SCIENTIFIC MICROBIOLOGY PTE. LTD.,87200
AVA000ETT16000002,Tender for the Disposal of general waste at Lim Chu Kang (End) Jetty,Agri-food and Veterinary Authority,13/5/2016,Awarded to Suppliers,V8 ENVIRONMENTAL PTE LTD,184500
AVA000ETT16000003,"Tender for the Provision, Installation and Maintenance of Floating Cage System Off Pulau Tekong",Agri-food and Veterinary Authority,25/7/2016,Awarded to Suppliers,DATAWIN ENTERPRISES,709900
AVA000ETT16000005,"Supply, installation and commissioning of one (1) unit of liquid chromatograph-hyphenated quadrupole and high resolution mass spectrometer hybrid system",Agri-food and Veterinary Authority,22/11/2016,Awarded to Suppliers,THERMO FISHER SCIENTIFIC PTE. LTD.,626283.1
AVA000ETT16000007,Tender for provision of bus transportation services for a period of three (3) years,Agri-food and Veterinary Authority,6/6/2016,Awarded to Suppliers,COMFORTDELGRO BUS PTE. LTD.,18855
AVA000ETT16000008,"Tender for the Provision of Armed Security Guards at Senoko Fishery Port for a period of five years, where 4th and 5th years are optional",Agri-food and Veterinary Authority,29/7/2016,Awarded to Suppliers,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.,3262344
AVA000ETT16000009,Tender for Laboratory testing services for selected food safety tests (for period of six months with option to extend by another six months),Agri-food and Veterinary Authority,2/12/2016,Awarded to Suppliers,ALS TECHNICHEM (SINGAPORE) PTE LTD,54000
AVA000ETT16000009,Tender for Laboratory testing services for selected food safety tests (for period of six months with option to extend by another six months),Agri-food and Veterinary Authority,2/12/2016,Awarded to Suppliers,COVANCE (ASIA) PTE LTD,52000
AVA000ETT16000009,Tender for Laboratory testing services for selected food safety tests (for period of six months with option to extend by another six months),Agri-food and Veterinary Authority,2/12/2016,Awarded to Suppliers,Setsco Services Pte Ltd,73980
AVA000ETT16000009,Tender for Laboratory testing services for selected food safety tests (for period of six months with option to extend by another six months),Agri-food and Veterinary Authority,2/12/2016,Awarded to Suppliers,TUV SUD PSB PTE. LTD.,3000
AVA000ETT16000010,Tender for the venue rental and banqueting services for Agri-Food and Veterinary Authority's Food Safety Awards Night 2016,Agri-food and Veterinary Authority,26/5/2016,Awarded to Suppliers,MARINA BAY SANDS PTE. LTD.,66605
AVA000ETT16000011,"Tender for the Supply of labour, machinery, equipment, materials, and other logistics arrangements for the improvement works on drain covers and drains at Senoko Fishery Port's Market Area",Agri-food and Veterinary Authority,12/10/2016,Awarded to Suppliers,HBB ENGINEERING PTE. LTD.,100000
AVA000ETT16000012,"Tender for the Letting of Market Lot No. 1, 33, 49, 80 & 82 at Jurong Fishery Port for a term of three years",Agri-food and Veterinary Authority,8/7/2016,Awarded to Suppliers,SOON GUAN FISHERY CO,1750
AVA000ETT16000013,"Tender for the Letting of Market Lot No. 9, 29 and Ice Crusher Stall No. #01-02 at Senoko Fishery Port for a term of three years",Agri-food and Veterinary Authority,5/7/2016,Awarded to Suppliers,UNI-TAT ICE & MARKETING PTE LTD,3388
AVA000ETT16000014,Tender for two-year period contract for the supply and delivery of disposable centrifugal filtering devices for lab use at Agri-Food & Veterinary Authority No. 10 Perahu Road (S718837),Agri-food and Veterinary Authority,3/11/2016,Awarded to Suppliers,MERCK PTE. LTD.,262500
AVA000ETT16000015,Tender for AVA Data Centre System Maintenance,Agri-food and Veterinary Authority,30/6/2016,Awarded to Suppliers,DC-FM PTE. LTD.,685251.6
AVA000ETT16000016,Tender for two-year period contract for the supply and delivery of autosampler vials for lab use,Agri-food and Veterinary Authority,7/10/2016,Awarded to Suppliers,CHEMIKALIE PTE. LTD.,68796
AVA000ETT16000016,Tender for two-year period contract for the supply and delivery of autosampler vials for lab use,Agri-food and Veterinary Authority,7/10/2016,Awarded to Suppliers,FISHER SCIENTIFIC PTE LTD,7657.5
AVA000ETT16000019,"Tender for two-year period contract for sequencing, oligonucleotide and probe synthesis services",Agri-food and Veterinary Authority,27/12/2016,Awarded to Suppliers,AITBIOTECH PTE. LTD.,109875
AVA000ETT16000019,"Tender for two-year period contract for sequencing, oligonucleotide and probe synthesis services",Agri-food and Veterinary Authority,27/12/2016,Awarded to Suppliers,Sigma-Aldrich Pte Ltd,87663
AVA000ETT16000021,Tender for the site clearance works at Lim Chu Kang,Agri-food and Veterinary Authority,11/11/2016,Awarded to Suppliers,PENG CHUAN ENGINEERING CONSTRUCTION PTE. LTD.,252000
AVA000ETT16000023,Tender for Event Management Services for ASEAN Meeting in 2016,Agri-food and Veterinary Authority,8/9/2016,Awarded to Suppliers,THE EVENTS STATION PTE. LTD.,100920
AVA000ETT16000025,Tender for appointment of external auditor,Agri-food and Veterinary Authority,1/12/2016,Awarded to Suppliers,BDO LLP,290000
AVA000ETT16000039,Tender for event management services for responsible pet ownership event,Agri-food and Veterinary Authority,22/11/2016,Awarded to Suppliers,CITYNEON EVENTS PTE. LTD.,80000
BCA000ETT16000002,PROPOSED ESTATE UPGRADING PROGRAMME (EUP) BATCH 8 FOR HAIG ROAD AND TANJONG KATONG ESTATES,Building and Construction Authority,12/12/2016,Awarded to Suppliers,Advanced Construction & Engineering Pte Ltd,1547780
BCA000ETT16000006,"APPOINTMENT OF AN INTEGRATED MARKETING COMMUNICATIONS AGENCY TO CONCEPTUALISE, DEVELOP, IMPLEMENT AND MANAGE THE PUBLICITY CAMPAIGN FOR BIG DAY OUT 2016",Building and Construction Authority,15/4/2016,Awarded to Suppliers,ATOMZ I! PTE. LTD.,143216
BCA000ETT16000007,Term Contract for The Maintenance of Mechanical and Electrical Services at Academic Tower in BCA Academy,Building and Construction Authority,8/6/2016,Awarded to Suppliers,GWTECH ENGINEERING PTE. LTD.,1255800
BCA000ETT16000008,"CONCEPTUALISATION, DEVELOPMENT AND EVENT MANAGMEMENT FOR THE BIG DAY OUT 2016",Building and Construction Authority,16/5/2016,Awarded to Suppliers,Pico Art International Pte Ltd,498650
BCA000ETT16000009,"APPOINTMENT OF AN INTEGRATED MARKETING COMMUNICATIONS / EVENTS MANAGEMENT AGENCY TO PROVIDE CONCEPTUALISATION FOR EVENTS AND EXHIBITION MANAGEMENT SERVICES, WEBSITE MANAGEMENT AND MATERIALS FOR SINGAPORE UNIVERSAL DESIGN WEEK (SUDW) 2016",Building and Construction Authority,6/4/2016,Awarded to Suppliers,Pico Art International Pte Ltd,138350
BCA000ETT16000010,"Industry survey on CONQUAS, Quality Mark (QM) and Green and Gracious Builder Scheme (GGBS)",Building and Construction Authority,29/7/2016,Awarded to Suppliers,FROST & SULLIVAN (SINGAPORE) PTE LTD,90125
BCA000ETT16000011,"APPOINTMENT OF AN INTEGRATED MARKETING COMMUNICATIONS AGENCY TO CONCEPTULAISE, DESIGN AND IMPLEMENT PROJECT BUILD COMPETITION 2016 PUBLICITY CAMPAIGN",Building and Construction Authority,22/4/2016,Awarded to Suppliers,ADDICTION ADVERTISING PTE. LTD.,48790
BCA000ETT16000012,"BCA WINDOW SAFETY CAMPAIGN 2016 - 2017: CREATIVE CONCEPT, ARTWORK AND MEDIA BUYING",Building and Construction Authority,20/5/2016,Awarded to Suppliers,ADDICTION ADVERTISING PTE. LTD.,304919.84
